from_node_id,to_node_id,VDF_fftt1,VDF_cap1,Block,length,VDF_alpha1,VDF_beta1
1,2,0.121911,6600,1,13.4102,0.15,4
1,3,0.217615,4200,2,19.5853,0.15,4
2,1,0.121911,6600,3,13.4102,0.15,4
2,4,0.258149,4200,4,23.2334,0.15,4
3,1,0.217615,4200,5,19.5853,0.15,4
3,4,0.160682,6600,6,17.6751,0.15,4
3,5,0.130312,6600,7,14.3343,0.15,4
3,7,0.38205,6600,8,42.0255,0.15,4
4,2,0.258149,4200,8,23.2334,0.15,4
4,3,0.160682,6600,3,17.6751,0.15,4
4,6,0.105288,6600,7,11.5816,0.15,4
5,3,0.130312,6600,4,14.3343,0.15,4
5,6,0.254768,4200,6,22.9291,0.15,4
5,8,0.21778,4200,5,19.6002,0.15,4
5,10,0.181193,6600,3,19.9312,0.15,4
6,4,0.105288,6600,2,11.5816,0.15,4
6,5,0.254768,4200,1,22.9291,0.15,4
6,9,0.140369,6600,5,15.4405,0.15,4
7,3,0.38205,6600,1,42.0255,0.15,4
7,8,0.089415,6300,2,8.0474,0.15,4
8,5,0.21778,4200,8,19.6002,0.15,4
8,7,0.089415,6300,6,8.0474,0.15,4
8,10,0.268139,4200,4,24.1325,0.15,4
9,6,0.140369,6600,4,15.4405,0.15,4
9,10,0.163303,6300,7,14.6973,0.15,4
9,11,0.21695,6600,6,23.8645,0.15,4
9,13,0.150124,6600,2,16.5137,0.15,4
10,5,0.181193,6600,2,19.9312,0.15,4
10,8,0.268139,4200,1,24.1325,0.15,4
10,9,0.163303,6300,8,14.6973,0.15,4
10,13,0.233232,4200,5,20.9909,0.15,4
11,9,0.21695,6600,3,23.8645,0.15,4
11,12,0.119964,4200,7,10.7968,0.15,4
12,11,0.119964,4200,5,10.7968,0.15,4
12,14,0.158115,4200,3,14.2304,0.15,4
13,9,0.150124,6600,1,16.5137,0.15,4
13,10,0.233232,4200,6,20.9909,0.15,4
13,14,0.052564,4200,7,4.7307,0.15,4
14,12,0.158115,4200,8,14.2304,0.15,4
14,13,0.052564,4200,4,4.7307,0.15,4
14,15,0.333287,6600,6,36.6616,0.15,4
15,14,0.333287,6600,1,36.6616,0.15,4
15,16,0.287684,6300,4,25.8915,0.15,4
16,15,0.287684,6300,8,25.8915,0.15,4
